family,truncated
adgazelle,2
aenjaris,1
agobot,1
airinstaller,2
aitinject,1
allaple,2
alman,3
amonetize,10
ardamax,2
asparnet,5
auslogics,1
autoitinject,2
avemaria,4
azorult,6
babar,4
bancos,4
bandoo,1
banload,50
beastdoor,2
bebloh,1
bestafera,1
betload,3
bezigate,2
bifrose,3
binder,3
bingoml,3
bitmin,1
blackhole,1
blackmoon,1
bladabindi,1
blamon,2
bobax,2
bredolab,2
brontok,10
brresmon,5
bsymem,1
bulz,1
bundlore,24
burden,56
buterat,2
buzus,1
buzy,3
bzub,2
carberp,2
cerber,57
cerbu,4
cheatengine,43
chifrax,1
citeary,1
cjishu,2
clipbanker,3
coins,1
constructor,10
contenedor,2
cossta,2
cridex,2
crossrider,2
cryptowall,4
crysis,3
cutwail,2
cycbot,1
dalexis,6
darkkomet,1
dealply,2
dexel,2
diskwriter,2
diztakun,9
dlhelper,1
dofoil,1
domaiq,20
dorgam,21
dorifel,1
dorkbot,3
dorv,21
downer,40
downloadadmin,4
downloadguide,5
dstudio,1
dumpy,2
duote,87
dupzom,3
dynamer,3
elex,1
emogen,1
emotet,5
emotetu,4
enosch,4
esaprof,2
esfury,5
expressdownloader,4
eyestye,1
fakedoc,6
fakefire,1
fakefolder,2
fareit,4
farfli,1
fasong,3
fesber,3
filetour,2
firseria,1
flystudio,1
formbook,3
fosniw,1
fraudpack,5
fsysna,1
fugrafa,2
fujacks,1
gamania,1
gamarue,1
gamevance,4
gendal,1
geral,4
gimemo,7
glupteba,1
gofot,5
goldrv,2
gozi,3
grenam,2
guloader,1
hacdef,4
hafen,1
havex,1
hebchengjiu,2
hebogo,15
hematite,13
hider,2
hotbar,1
ibryte,13
idsohtu,2
induc,11
injuke,1
installbrain,9
installcore,1
installerex,11
installiq,1
installmonster,1
jaik,4
jeefo,9
kasidet,2
kelihos,4
kingsoft,1
klez,3
kolovorot,1
koobface,2
kovter,1
kraddare,12
kuaiba,35
kuaizip,92
kuluoz,11
lassorm,27
lethic,3
linkury,29
lipler,4
llac,3
loadmoney,1
lockbit,2
locky,20
lokibot,2
lollipop,63
loring,1
lovgate,6
lulusoftware,2
mabezat,2
macoute,3
macri,1
manbat,29
mediaget,34
memery,17
menti,7
mewsspy,62
midie,11
mint,2
mira,4
mokes,10
mudrop,3
multibar,1
mytob,2
mywebsearch,7
nanocore,5
neoreklami,2
neutrinopos,1
nitol,1
noon,1
nymeria,3
oberal,2
occamy,1
oficla,3
omaneat,1
onescan,1
opencandy,1
opensupdater,5
palevo,3
passview,1
pasta,3
pcacceleratepro,1
pcclient,4
pedex,4
petya,2
phorpiex,1
pincav,2
plugx,1
pochi,3
poison,4
presenoker,22
prorat,7
pterodo,2
pykspa,5
qbot,1
qihoo,1
qjwmonkey,54
qqware,2
quasar,11
qzonit,1
raccrypt,10
ramnit,4
ranumbot,88
rbot,14
rebhip,1
recex,1
recodrop,44
refroso,5
relevantknowledge,18
remcos,2
remoteutilities,15
rums,1
rungbu,7
ruskill,6
sabsik,3
schoolboy,1
screenmate,2
sdbot,72
sfone,1
shade,7
shandaadd,1
shopper,4
shutdowner,1
shylock,1
sillyfdc,6
simda,4
siscos,10
skillis,7
slimware,2
slugin,1
socelars,3
sodinokibi,4
softcnapp,17
softpulse,5
sogou,14
speedbit,1
speedingupmypc,26
spybot,82
stampado,1
stone,97
stop,15
stopcrypt,22
subseven,3
swisyn,1
swizzor,7
sysn,1
systweak,1
taranis,19
tdss,5
tenga,1
teslacrypt,3
tibia,1
tibs,8
tiggre,1
tinba,4
tisandr,9
titirez,7
tnega,3
trickster,2
tupym,1
turkojan,3
ulise,8
ursnif,2
usteal,1
utorrent,5
uwamson,4
vemply,1
virlock,1
vitro,1
vittalia,3
vkontaktedj,1
vobfus,1
vrbrothers,1
wakme,4
wapomi,1
webdialer,2
webprefix,3
winactivator,1
windigo,2
winner,70
winwebsec,1
winwrapper,4
wonton,3
woozlist,1
wsgame,1
xorist,29
xyligan,4
yahlover,3
yandex,15
ymacco,1
yoddos,2
youxun,71
zapchast,1
zard,15
zegost,1
zepfod,7
zeroaccess,6
zlob,2
zpevdo,2
zurgop,1
zvuzona,5
